quarter,ticker,firm,CIK,sector,industry,GenAI_Exposure,GenAI_Risk,GenAI_Adoption,GenAI_Opportunity
2014Q1,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,0.8547008547008548,0.425531914893617,0.425531914893617,0.0
2014Q2,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,0.9708737864077669,0.0,0.45871559633027525,0.45871559633027525
2014Q3,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,0.9689922480620154,0.18450184501845018,0.36900369003690037,0.0
2014Q4,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,0.36496350364963503,0.0,0.36496350364963503,0.0
2015Q1,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,1.4314928425357876,1.0183299389002036,0.40733197556008144,0.0
2015Q2,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,1.0954616588419408,0.0,0.3129890453834116,0.7824726134585289
2015Q3,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,1.7515923566878984,0.0,0.0,1.7515923566878981
2015Q4,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,1.3133208255159474,0.0,0.9328358208955223,0.3731343283582089
2016Q1,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,4.216867469879518,0.4411764705882353,1.1764705882352942,2.5
2016Q2,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,3.265306122448979,0.8163265306122449,1.6326530612244898,0.8163265306122449
2016Q3,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,1.056338028169014,0.0,0.35211267605633806,0.7042253521126761
2016Q4,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,1.6806722689075633,0.0,0.33613445378151263,1.3445378151260505
2017Q1,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,6.499999999999999,0.8333333333333334,2.666666666666667,3.0
2017Q2,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,2.0725388601036268,0.0,1.2089810017271159,0.8635578583765112
2017Q3,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,1.09375,0.15625,0.78125,0.15625
2017Q4,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,3.8525963149078724,0.0,1.340033500837521,2.512562814070352
2018Q1,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,7.264957264957266,0.0,1.0610079575596816,5.172413793103448
2018Q2,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,2.599388379204893,0.1529051987767584,1.9877675840978593,0.45871559633027525
2018Q3,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,1.729106628242075,0.0,0.7772020725388601,0.0
2018Q4,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,2.0437956204379564,0.0,1.313868613138686,0.7299270072992701
2019Q1,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,3.6144578313253017,0.0,2.18978102189781,1.094890510948905
2019Q2,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,0.8561643835616438,0.0,0.3424657534246575,0.5136986301369862
2019Q3,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,2.791461412151068,0.0,1.8062397372742198,0.9852216748768473
2019Q4,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,3.316749585406302,0.0,1.3266998341625207,1.9900497512437811
2020Q1,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,0.31948881789137373,0.0,0.0,0.3194888178913738
2020Q2,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,1.7094017094017095,0.5128205128205128,0.0,1.1965811965811968
2020Q3,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,1.4754098360655739,0.16,0.32,0.8
2020Q4,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,3.8860103626943006,0.0,1.0362694300518136,2.849740932642487
2021Q1,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,1.9169329073482428,0.0,0.9584664536741214,0.9584664536741214
2021Q2,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,1.5968063872255487,0.5988023952095809,0.998003992015968,0.0
2021Q3,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,2.8828828828828827,0.0,1.0810810810810811,1.8018018018018018
2021Q4,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,1.023391812865497,0.0,0.29239766081871343,0.7309941520467835
2022Q1,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,2.3622047244094486,0.0,0.984251968503937,1.3779527559055118
2022Q2,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,0.9538950715421305,0.7656967840735069,0.0,0.1531393568147014
2022Q3,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,2.1172638436482085,0.0,2.1172638436482085,0.0
2022Q4,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,1.6393442622950818,0.0,0.32786885245901637,1.3114754098360655
2023Q1,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,3.8062283737024223,0.0,2.249134948096886,1.5570934256055362
2023Q2,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,1.282051282051282,0.0,0.6153846153846154,0.3076923076923077
2023Q3,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,0.31007751937984496,0.0,0.31007751937984496,0.0
2023Q4,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,0.7092198581560284,0.0,0.3546099290780142,0.3546099290780142
2024Q1,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,0.4885993485342019,0.0,0.0,0.4838709677419355
2024Q2,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,1.234567901234568,0.0,0.34965034965034963,0.8741258741258742
2024Q3,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,2.4482109227871938,0.0,0.9416195856873822,1.5065913370998116
2024Q4,A,Agilent Technologies,1090872,Health Care,Life Sciences Tools & Services,0.291970802919708,0.0,0.291970802919708,0.0
2014Q1,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.5141388174807198,0.0,0.0,0.5141388174807198
2014Q2,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.0,0.0,0.0
2014Q3,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.0,0.0,0.0
2014Q4,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.0,0.0,0.0
2015Q1,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",1.1389521640091116,0.0,0.0,1.1389521640091116
2015Q2,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.7092198581560284,0.0,0.0,0.0
2015Q3,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.6437768240343348,0.0,0.6237006237006237,0.0
2015Q4,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.2597402597402597,0.0,0.0,0.2597402597402597
2016Q1,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.2380952380952381,0.0,0.0,0.2380952380952381
2016Q2,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.0,0.0,0.0
2016Q3,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",1.7429193899782134,0.0,0.0,1.7429193899782136
2016Q4,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",2.164502164502165,0.0,1.3972055888223553,0.0
2017Q1,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",1.1286681715575624,0.0,1.1286681715575622,0.0
2017Q2,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",1.4184397163120566,0.0,0.4728132387706856,0.9456264775413712
2017Q3,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.9029345372460496,0.0,0.0,0.9029345372460496
2017Q4,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.0,0.0,0.0
2018Q1,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",1.240694789081886,0.0,1.240694789081886,0.0
2018Q2,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",1.160092807424594,0.0,0.0,0.0
2018Q3,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",4.25531914893617,0.0,0.0,2.771362586605081
2018Q4,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",1.2853470437017995,0.0,1.2853470437017995,0.0
2019Q1,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.0,0.0,0.0
2019Q2,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.5037783375314862,0.0,0.0,0.5037783375314862
2019Q3,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.7194244604316548,0.0,0.0,0.7194244604316548
2019Q4,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.7731958762886598,0.0,0.0,0.7731958762886598
2020Q1,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.0,0.0,0.0
2020Q2,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.0,0.0,0.0
2020Q3,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.0,0.0,0.0
2020Q4,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.0,0.0,0.0
2021Q1,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.22935779816513763,0.0,0.22935779816513763,0.0
2021Q2,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.22831050228310495,0.0,0.228310502283105,0.0
2021Q3,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",1.5837104072398194,0.6787330316742082,0.904977375565611,0.0
2021Q4,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.0,0.0,0.0
2022Q1,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.0,0.0,0.0
2022Q2,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.0,0.0,0.0
2022Q3,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.7042253521126761,0.0,0.7042253521126761,0.0
2022Q4,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.0,0.0,0.0
2023Q1,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",2.28310502283105,0.0,1.36986301369863,0.91324200913242
2023Q2,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",0.7125890736342044,0.0,0.0,0.7125890736342043
2023Q3,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",2.0689655172413794,0.0,0.0,2.0689655172413794
2023Q4,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",4.565217391304348,0.0,0.6521739130434783,3.91304347826087
2024Q1,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",3.6613272311212817,0.0,0.6864988558352403,2.9748283752860414
2024Q2,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",6.331877729257643,0.43668122270742354,0.0,5.895196506550218
2024Q3,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",4.731182795698925,0.0,0.6451612903225806,4.086021505376344
2024Q4,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",5.200945626477541,0.0,1.8912529550827424,3.309692671394799
2025Q1,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",3.1963470319634704,0.0,2.054794520547945,1.141552511415525
2014Q2,ABBV,AbbVie,1551152,Health Care,Biotechnology,2.364066193853428,1.1820330969267139,0.4728132387706856,0.7092198581560284
2014Q3,ABBV,AbbVie,1551152,Health Care,Biotechnology,0.0,0.0,0.0,0.0
2014Q4,ABBV,AbbVie,1551152,Health Care,Biotechnology,0.0,0.0,0.0,0.0
2015Q1,ABBV,AbbVie,1551152,Health Care,Biotechnology,0.0,0.0,0.0,0.0
2015Q2,ABBV,AbbVie,1551152,Health Care,Biotechnology,0.6369426751592357,0.0,0.6369426751592357,0.0
2015Q3,ABBV,AbbVie,1551152,Health Care,Biotechnology,1.0101010101010102,0.40404040404040403,0.6060606060606061,0.0
2015Q4,ABBV,AbbVie,1551152,Health Care,Biotechnology,0.0,0.0,0.0,0.0
2016Q1,ABBV,AbbVie,1551152,Health Care,Biotechnology,0.4497751124437781,0.0,0.0,0.0
2016Q2,ABBV,AbbVie,1551152,Health Care,Biotechnology,1.9316493313521543,0.0,0.7429420505200593,1.188707280832095
2016Q3,ABBV,AbbVie,1551152,Health Care,Biotechnology,0.8051529790660225,0.0,0.4830917874396135,0.322061191626409
2016Q4,ABBV,AbbVie,1551152,Health Care,Biotechnology,0.6814310051107325,0.0,0.5110732538330494,0.17035775127768313
2017Q1,ABBV,AbbVie,1551152,Health Care,Biotechnology,0.6060606060606061,0.0,0.6060606060606061,0.0
2017Q2,ABBV,AbbVie,1551152,Health Care,Biotechnology,5.144694533762058,0.6648936170212766,0.5319148936170213,1.7287234042553192
2017Q3,ABBV,AbbVie,1551152,Health Care,Biotechnology,2.460202604920405,0.0,0.0,1.9178082191780823
2017Q4,ABBV,AbbVie,1551152,Health Care,Biotechnology,0.4437869822485207,0.4437869822485207,0.0,0.0
2018Q1,ABBV,AbbVie,1551152,Health Care,Biotechnology,1.3513513513513513,0.3861003861003861,0.0,0.9652509652509652
2018Q2,ABBV,AbbVie,1551152,Health Care,Biotechnology,4.179566563467492,2.2222222222222223,0.4444444444444444,1.037037037037037
2018Q3,ABBV,AbbVie,1551152,Health Care,Biotechnology,0.0,0.0,0.0,0.0
2018Q4,ABBV,AbbVie,1551152,Health Care,Biotechnology,1.6985138004246285,0.0,0.5597014925373134,0.0
2019Q1,ABBV,AbbVie,1551152,Health Care,Biotechnology,0.9259259259259258,0.0,0.0,0.9259259259259258
